key,amazon_url
netuki_1_amazon,
netuki_2_amazon,
netuki_3_amazon,
tochukakusei_1_amazon,
tochukakusei_2_amazon,
tochukakusei_3_amazon,
asa_1_amazon,
asa_2_amazon,
asa_3_amazon,
hiru_1_amazon,
hiru_2_amazon,
hiru_3_amazon,
